experiment_class,payment_rule,correlation,risk,player_position,batch_size,bne_utilities
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,proxy,0.5,1.0,2,8589934592,0.414779276
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,proxy,0.6,1.0,0,8589934592,0.155386135
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,proxy,0.6,1.0,1,8589934592,0.155385256
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,proxy,0.6,1.0,2,8589934592,0.401637644
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,proxy,0.7,1.0,0,8589934592,0.1586281209999999
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,proxy,0.7,1.0,1,8589934592,0.158631429
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,proxy,0.7,1.0,2,8589934592,0.387089372
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,proxy,0.8,1.0,0,8589934592,0.161641866
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,proxy,0.8,1.0,1,8589934592,0.16164507
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,proxy,0.8,1.0,2,8589934592,0.370962948
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,proxy,0.9,1.0,0,8589934592,0.1643524469999999
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,proxy,0.9,1.0,1,8589934592,0.164351299
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,proxy,0.9,1.0,2,8589934592,0.353124619
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,proxy,1.0,1.0,0,8589934592,0.166668907
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,proxy,1.0,1.0,1,8589934592,0.166669369
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,proxy,1.0,1.0,2,8589934592,0.333327442
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.1,1.0,0,8589934592,0.137607083
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.1,1.0,1,8589934592,0.137608692
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.1,1.0,2,8589934592,0.456027329
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.2,1.0,0,8589934592,0.14123942
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.2,1.0,1,8589934592,0.141235694
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.2,1.0,2,8589934592,0.447196424
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.3,1.0,0,8589934592,0.1448664959999999
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.3,1.0,1,8589934592,0.144859344
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.3,1.0,2,8589934592,0.437436044
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.4,1.0,0,8589934592,0.148455054
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.4,1.0,1,8589934592,0.148460686
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.4,1.0,2,8589934592,0.42667979
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.5,1.0,0,8589934592,0.151981652
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.5,1.0,1,8589934592,0.15197815
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.5,1.0,2,8589934592,0.414780736
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.6,1.0,0,8589934592,0.155387044
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.6,1.0,1,8589934592,0.155384004
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.6,1.0,2,8589934592,0.401632458
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.7,1.0,0,8589934592,0.158631369
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.7,1.0,1,8589934592,0.158630475
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.7,1.0,2,8589934592,0.387081504
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.8,1.0,0,8589934592,0.161647573
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.8,1.0,1,8589934592,0.161643833
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.8,1.0,2,8589934592,0.3709727820000001
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.9,1.0,0,8589934592,0.1643474999999999
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.9,1.0,1,8589934592,0.164351299
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,0.9,1.0,2,8589934592,0.353120714
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,1.0,1.0,0,8589934592,0.166668653
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,1.0,1.0,1,8589934592,0.166669816
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_zero,1.0,1.0,2,8589934592,0.333331823
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.1,1.0,0,8589934592,0.124999136
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.1,1.0,1,8589934592,0.124997333
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.1,1.0,2,8589934592,0.510939479
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.2,1.0,0,8589934592,0.124998279
